region_name,sport_name,games_year,season,total_medals
Belarus,Biathlon,1988,Winter,1
Belarus,Cycling,2004,Summer,1
Belarus,"Speed Skating",1994,Winter,1
Belarus,Athletics,2016,Summer,1
Belarus,Tennis,1992,Summer,1
Belarus,Athletics,2004,Summer,1
Belarus,"Figure Skating",2006,Winter,1
Belarus,Wrestling,1992,Summer,1
Belarus,"Speed Skating",1988,Winter,1
Belarus,Shooting,1996,Summer,1
Belarus,"Freestyle Skiing",1998,Winter,1
Belarus,"Freestyle Skiing",2006,Winter,1
Belarus,Swimming,2016,Summer,1
Belarus,Rowing,1992,Summer,1
Belarus,"Modern Pentathlon",2000,Summer,1
Belarus,"Freestyle Skiing",2002,Winter,1
Belarus,Weightlifting,1988,Summer,1
Belarus,"Freestyle Skiing",2010,Winter,1
Belarus,Biathlon,2002,Winter,1
Belarus,Wrestling,1988,Summer,1
Belarus,Shooting,2004,Summer,1
Belarus,Shooting,2012,Summer,1
Belarus,Wrestling,2004,Summer,1
Belarus,Wrestling,2000,Summer,1
Belarus,"Cross Country Skiing",1988,Winter,1
Belarus,Judo,2000,Summer,1
Belarus,Weightlifting,1992,Summer,1
Belarus,Judo,2004,Summer,1
Belarus,Trampolining,2016,Summer,1
Belarus,Shooting,1992,Summer,1
Belarus,Rowing,2000,Summer,1
Belgium,Gymnastics,1920,Summer,19
Belgium,Hockey,2016,Summer,16
Belgium,Archery,1920,Summer,15
Belgium,Football,1920,Summer,14
Belgium,Fencing,1924,Summer,12
Belgium,Equestrianism,1920,Summer,11
Belgium,Sailing,1920,Summer,9
Belgium,"Water Polo",1936,Summer,9
Belgium,"Water Polo",1912,Summer,9
Belgium,"Water Polo",1924,Summer,8
Belgium,Cycling,1924,Summer,8
Belgium,"Water Polo",1920,Summer,7
Belgium,Fencing,1912,Summer,7
Belgium,Fencing,1908,Summer,7
Belgium,Rowing,1900,Summer,7
Belgium,Rowing,1908,Summer,7
Belgium,Cycling,1952,Summer,6
Belgium,Archery,1900,Summer,6
Belgium,Cycling,1948,Summer,6
Belgium,Fencing,1920,Summer,6
Belgium,Fencing,1948,Summer,6
Belgium,"Art Competitions",1920,Summer,6
Belgium,Equestrianism,1976,Summer,5
Belgium,"Water Polo",1908,Summer,5
Belgium,Athletics,2008,Summer,5
Belgium,Hockey,1920,Summer,5
Belgium,Shooting,1920,Summer,4
Belgium,Fencing,1906,Summer,4
Belgium,Shooting,1908,Summer,4
Belgium,Cycling,1936,Summer,4
Belgium,Bobsleigh,1924,Winter,4
Belgium,Judo,1996,Summer,4
Belgium,Bobsleigh,1948,Winter,4
Belgium,Equestrianism,1900,Summer,3
Belgium,Sailing,1908,Summer,3
Belgium,Swimming,1952,Summer,3
Belgium,Athletics,1976,Summer,3
Belgium,Cycling,2000,Summer,3
Belgium,Cycling,1920,Summer,3
Belgium,Tug-Of-War,1920,Summer,3
Belgium,Rowing,1984,Summer,3
Belgium,Boxing,1924,Summer,2
Belgium,Tennis,2000,Summer,2
Belgium,"Figure Skating",1948,Winter,2
Belgium,Rowing,1952,Summer,2
Belgium,Rowing,1928,Summer,2
Belgium,"Water Polo",1900,Summer,2
Belgium,Athletics,1972,Summer,2
Belgium,Cycling,2016,Summer,2
Belgium,Cycling,1968,Summer,2
Belgium,Cycling,1964,Summer,2
Belgium,Athletics,1948,Summer,2
Belgium,Judo,2000,Summer,2
Belgium,Cycling,1960,Summer,2
Belgium,Rowing,1906,Summer,2
Belgium,Judo,1980,Summer,1
Belgium,Judo,1988,Summer,1
Belgium,Judo,2012,Summer,1
Belgium,Judo,2016,Summer,1
Belgium,Cycling,1908,Summer,1
Belgium,Sailing,1956,Summer,1
Belgium,Sailing,1960,Summer,1
Belgium,"Figure Skating",1928,Winter,1
Belgium,Weightlifting,1968,Summer,1
Belgium,Rowing,1912,Summer,1
Belgium,"Speed Skating",1994,Winter,1
Belgium,"Speed Skating",1998,Winter,1
Belgium,Judo,1992,Summer,1
Belgium,"Art Competitions",1932,Summer,1
Belgium,Boxing,1948,Summer,1
Belgium,"Speed Skating",1992,Winter,1
Belgium,Shooting,1988,Summer,1
Belgium,Cycling,1976,Summer,1
Belgium,Swimming,2016,Summer,1
Belgium,Athletics,2016,Summer,1
Belgium,Sailing,2012,Summer,1
Belgium,Shooting,1900,Summer,1
Belgium,Athletics,1964,Summer,1
Belgium,Swimming,1920,Summer,1
Belgium,Equestrianism,1912,Summer,1
Belgium,Rowing,1992,Summer,1
Belgium,Shooting,2012,Summer,1
Belgium,Swimming,1996,Summer,1
Belgium,Tennis,2004,Summer,1
Belgium,Wrestling,1956,Summer,1
Belgium,Sailing,1924,Summer,1
Belgium,Cycling,2004,Summer,1
Belgium,Wrestling,1906,Summer,1
Belgium,Cycling,1992,Summer,1
Belgium,Athletics,1960,Summer,1
Belgium,Swimming,1984,Summer,1
Belgium,Equestrianism,1992,Summer,1
Belgium,"Art Competitions",1936,Summer,1
Belgium,Athletics,1906,Summer,1
Belgium,Canoeing,1964,Summer,1
Belgium,Judo,2004,Summer,1
Belgium,Sailing,1996,Summer,1
Belgium,Swimming,1924,Summer,1
Belgium,Weightlifting,1920,Summer,1
Belgium,Swimming,1948,Summer,1
Belgium,Cycling,1906,Summer,1
Belgium,Cycling,1984,Summer,1
Bermuda,Boxing,1976,Summer,1
Bohemia,Fencing,1908,Summer,5
Bohemia,Tennis,1900,Summer,2
Bohemia,Tennis,1906,Summer,1
Bohemia,Tennis,1920,Summer,1
Bohemia,Athletics,1900,Summer,1
Botswana,Athletics,2012,Summer,1
Brazil,Football,2008,Summer,35
Brazil,Volleyball,2008,Summer,24
Brazil,Volleyball,2012,Summer,24
Brazil,Football,2012,Summer,18
Brazil,Football,1996,Summer,17
Brazil,Football,2004,Summer,17
Brazil,Football,2016,Summer,17
Brazil,Football,1984,Summer,16
Brazil,Football,1988,Summer,16
Brazil,Volleyball,1996,Summer,12
Brazil,Volleyball,1992,Summer,12
Brazil,Volleyball,2004,Summer,12
Brazil,Basketball,2000,Summer,12
Brazil,Volleyball,1984,Summer,12
Brazil,Basketball,1996,Summer,12
Brazil,Volleyball,2016,Summer,12
Brazil,Basketball,1964,Summer,12
Brazil,Basketball,1960,Summer,12
Brazil,Volleyball,2000,Summer,12
Brazil,Basketball,1948,Summer,10
Brazil,"Beach Volleyball",2000,Summer,6
Brazil,Shooting,1920,Summer,6
Brazil,Athletics,2000,Summer,5
Brazil,Athletics,2008,Summer,5
Brazil,Sailing,1996,Summer,5
Brazil,Sailing,1988,Summer,4
Brazil,"Beach Volleyball",2008,Summer,4
Brazil,Swimming,1980,Summer,4
Brazil,Sailing,2008,Summer,4
Brazil,Canoeing,2016,Summer,4
Brazil,"Beach Volleyball",1996,Summer,4
Brazil,"Beach Volleyball",2012,Summer,4
Brazil,Equestrianism,2000,Summer,4
Brazil,Equestrianism,1996,Summer,4
Brazil,Judo,2012,Summer,4
Brazil,"Beach Volleyball",2016,Summer,4
Brazil,Athletics,1996,Summer,4
Brazil,Sailing,1980,Summer,4
Brazil,Swimming,2000,Summer,4
Brazil,"Beach Volleyball",2004,Summer,4
Brazil,Judo,2016,Summer,3
Brazil,Judo,1984,Summer,3
Brazil,Sailing,1984,Summer,3
Brazil,Judo,2008,Summer,3
Brazil,Swimming,1996,Summer,3
Brazil,Boxing,2012,Summer,3
Brazil,Sailing,2000,Summer,3
Brazil,Gymnastics,2016,Summer,3
Brazil,Sailing,2004,Summer,3
Brazil,Judo,1996,Summer,2
Brazil,Sailing,2016,Summer,2
Brazil,Athletics,1988,Summer,2
Brazil,Judo,2004,Summer,2
Brazil,Swimming,2012,Summer,2
Brazil,Sailing,1968,Summer,2
Brazil,Swimming,2008,Summer,2
Brazil,Judo,2000,Summer,2
Brazil,Sailing,1976,Summer,2
Brazil,Athletics,1952,Summer,2
Brazil,Sailing,2012,Summer,2
